Time,T_Outdoor_Temperature_C,m_dot_water
6/1/2023 20:30,19.02916667,0
6/1/2023 20:35,19.18333333,6.65E-05
6/1/2023 20:40,19.74583333,0
6/1/2023 20:45,20.13333333,0.132090339
6/1/2023 20:50,19.5625,0.132067482
6/1/2023 20:55,18.98333333,0
6/1/2023 21:00,18.79583333,0
6/1/2023 21:05,18.67083333,0
6/1/2023 21:10,18.24166667,0
6/1/2023 21:15,18.0125,0
6/1/2023 21:20,18,0
6/1/2023 21:25,18,0
6/1/2023 21:30,17.91666667,0.07361186
6/1/2023 21:35,17.6875,8.73E-05
6/1/2023 21:40,17.54166667,0
6/1/2023 21:45,17.40833333,0
6/1/2023 21:50,17.4125,0
6/1/2023 21:55,17.425,0
6/1/2023 22:00,17.13333333,0.00013922
6/1/2023 22:05,17,0
6/1/2023 22:10,17,0.00270751
6/1/2023 22:15,16.93333333,0
6/1/2023 22:20,16.8125,0
6/1/2023 22:25,16.875,0
6/1/2023 22:30,17.0125,0
6/1/2023 22:35,17.13333333,0
6/1/2023 22:40,17.11666667,0
6/1/2023 22:45,16.81666667,0
6/1/2023 22:50,16.75,0
6/1/2023 22:55,16.65,0
6/1/2023 23:00,16.62083333,9.77E-05
6/1/2023 23:05,16.34166667,0.001275834
6/1/2023 23:10,16.05416667,0
6/1/2023 23:15,16.025,0
6/1/2023 23:20,16.23333333,0
6/1/2023 23:25,16.15416667,0
6/1/2023 23:30,16.125,0
6/1/2023 23:35,16.07916667,0
6/1/2023 23:40,15.94798148,0
6/1/2023 23:45,15.75192593,0
6/1/2023 23:50,15.72279629,0
6/1/2023 23:55,15.72279629,0
6/2/2023 0:00,15.64366667,0
6/2/2023 0:05,15.58766667,0
6/2/2023 0:10,15.72488889,0
6/2/2023 0:15,15.94387037,0
6/2/2023 0:20,15.87288889,0
6/2/2023 0:25,15.61053704,0
6/2/2023 0:30,15.54812963,0
6/2/2023 0:35,15.37701852,0
6/2/2023 0:40,15.27281482,0
6/2/2023 0:45,15.34151852,0
6/2/2023 0:50,15.23524074,0
6/2/2023 0:55,14.97511111,0
6/2/2023 1:00,14.88127778,0
6/2/2023 1:05,14.96042593,0
6/2/2023 1:10,15.32916667,0
6/2/2023 1:15,15.36664815,0
6/2/2023 1:20,15.44801852,0
6/2/2023 1:25,15.81670371,0
6/2/2023 1:30,15.76038889,0
6/2/2023 1:35,15.44594444,0
6/2/2023 1:40,15.41453704,0
6/2/2023 1:45,15.09164815,0
6/2/2023 1:50,14.81277778,0
6/2/2023 1:55,14.71885185,0
6/2/2023 2:00,14.60407407,0
6/2/2023 2:05,14.58524074,0
6/2/2023 2:10,14.47077778,0
6/2/2023 2:15,14.29592593,0
6/2/2023 2:20,14.53518518,0
6/2/2023 2:25,14.47481482,0
6/2/2023 2:30,14.54983333,0
6/2/2023 2:35,14.74596296,0
